,actionplan_fin,actionplan_soan
lecture1_1,0.24107511341571808,0.2506086528301239
lecture1_2,0.27535155415534973,0.28810915350914
lecture2_1,0.278100848197937,0.27742132544517517
lecture2_2,0.27679243683815,0.2880917489528656
lecture2_3,0.2924179136753082,0.3028484582901001
lecture2_4,0.17676107585430145,0.19210286438465118
lecture3_1,0.3245335519313812,0.32435134053230286
lecture3_2,0.27845853567123413,0.2911360561847687
lecture3_3,0.3121882677078247,0.32017454504966736
lecture3_4,0.2784592807292938,0.2884494662284851
lecture4A_1,0.32827726006507874,0.3303549587726593
lecture4A_2,0.2523389160633087,0.2597885727882385
lecture4A_3,0.3752997815608978,0.35875335335731506
lecture4A_4,0.34072309732437134,0.3462578058242798
lecture4A_6,0.36911436915397644,0.3540795147418976
lecture4B_1,0.27957314252853394,0.28753912448883057
lecture4B_2,0.30387595295906067,0.30292531847953796
lecture4B_3,0.28748446702957153,0.2967098653316498
lecture4B_4,0.2571704685688019,0.27279773354530334
lecture4B_5,0.3097776472568512,0.31093260645866394
lecture4B_6_1,0.2998488247394562,0.30622953176498413
lecture4B_6_2,0.4979066848754883,0.43778103590011597
lecture4B_7,0.35456445813179016,0.35112935304641724
